Source,Unit,Year,Invdate.fuels,Invdate.trees,Timestep,PlotID,InvID.fuels,count.ha_Live_ABCO,count.ha_Live_CADE,count.ha_Live_LIDE,count.ha_Live_OTHER,count.ha_Live_PILA,count.ha_Live_PIPO,count.ha_Live_PSME,count.ha_Live_QUKE,count.ha_Live_(all),count.ha_Snag_ABCO,count.ha_Snag_CADE,count.ha_Snag_LIDE,count.ha_Snag_OTHER,count.ha_Snag_PILA,count.ha_Snag_PIPO,count.ha_Snag_PSME,count.ha_Snag_QUKE,count.ha_Snag_(all),count.ha_(all)_(all),BA.mha.sum_Live_ABCO,BA.mha.sum_Live_CADE,BA.mha.sum_Live_LIDE,BA.mha.sum_Live_OTHER,BA.mha.sum_Live_PILA,BA.mha.sum_Live_PIPO,BA.mha.sum_Live_PSME,BA.mha.sum_Live_QUKE,BA.mha.sum_Live_(all),BA.mha.sum_Snag_ABCO,BA.mha.sum_Snag_CADE,BA.mha.sum_Snag_LIDE,BA.mha.sum_Snag_OTHER,BA.mha.sum_Snag_PILA,BA.mha.sum_Snag_PIPO,BA.mha.sum_Snag_PSME,BA.mha.sum_Snag_QUKE,BA.mha.sum_Snag_(all),BA.mha.sum_(all)_(all),pBA_Live_ABCO,pBA_Live_CADE,pBA_Live_LIDE,pBA_Live_OTHER,pBA_Live_PILA,pBA_Live_PIPO,pBA_Live_PSME,pBA_Live_QUKE,pBA_Live_(all),pBA_Snag_ABCO,pBA_Snag_CADE,pBA_Snag_LIDE,pBA_Snag_OTHER,pBA_Snag_PILA,pBA_Snag_PIPO,pBA_Snag_PSME,pBA_Snag_QUKE,pBA_Snag_(all),pBA_(all)_(all),pBA_ABCO_(all),pBA_CADE_(all),pBA_LIDE_(all),pBA_OTHER_(all),pBA_PILA_(all),pBA_PIPO_(all),pBA_PSME_(all),pBA_QUKE_(all),fuelload_litter_tonha,fuelload_duff_tonha,fuelload_litterduff_tonha,fuelload_1h_tonha,fuelload_10h_tonha,fuelload_100h_tonha,fuelload_1000s_tonha,fuelload_1000r_tonha,fuelload_1000h_tonha,fuelload_1.100h_tonha,fuelload_1.1000h_tonha,fuelload_total_tonha,fuelload_surface_tonha,Treatment,disturbance
BFRS,60,2016,11/14/17,8/10/16,Post_burn3,0060-00108,20171160108,0,24.70966148,0,0,0,0,0,0,24.70966148,0,49.41932296,0,0,0,0,0,0,49.41932296,74.12898443,0,3.533805755,0,0,0,0,0,0,3.533805755,0,5.897939835,0,0,0,0,0,0,5.897939835,9.431745589,0,0.374671446,0,0,0,0,0,0,0.374671446,0,0.625328554,0,0,0,0,0,0,0.625328554,1,0,1,0,0,0,0,0,0,33.495,8.375,52,0.693924728,2.741033626,2.382537408,0,5.315210159,5.315210159,5.817495762,11.13270592,53.00270592,44.62770592,Burn,Burn3
FFS,60,2009,6/1/09,6/1/09,Post_7,0060-00108,20090660108,0,74.12898443,0,0,0,0,0,24.70966148,98.83864591,24.70966148,74.12898443,0,0,0,0,49.41932296,0,148.2579689,247.0966148,0,8.996370141,0,0,0,0,0,9.079645247,18.07601539,0.466251319,1.505841356,0,0,0,0,1.442574788,0,3.414667464,21.49068285,0,0.418617231,0,0,0,0,0,0.422492171,0.841109401,0.02169551,0.070069498,0,0,0,0,0.067125591,0,0.158890599,1,0.02169551,0.488686729,0,0,0,0,0.067125591,0.422492171,8.577057195,20.99230009,36.45753712,0.353157109,1.549967009,0,0,0,0,1.903124118,1.903124118,31.47248141,10.48018131,Burn,None
BFRS,60,2016,8/10/16,8/10/16,Post_14,0060-00108,7077,0,24.70966148,0,0,0,0,0,0,24.70966148,0,49.41932296,0,0,0,0,0,0,49.41932296,74.12898443,0,3.533805755,0,0,0,0,0,0,3.533805755,0,5.897939835,0,0,0,0,0,0,5.897939835,9.431745589,0,0.374671446,0,0,0,0,0,0,0.374671446,0,0.625328554,0,0,0,0,0,0,0.625328554,1,0,1,0,0,0,0,0,0,15.39494,0,20.07616,0.529574134,1.827355751,0,0,2.143225616,2.143225616,2.356929885,4.500155501,19.8950955,19.8950955,Burn,None
FFS,60,2010,6/10/10,6/10/10,Post_8,0060-00108,20100660108,0,74.12898443,0,0,0,0,0,24.70966148,98.83864591,0,74.12898443,0,0,0,0,49.41932296,0,123.5483074,222.3869533,0,8.996370141,0,0,0,0,0,9.079645247,18.07601539,0,1.505841356,0,0,0,0,1.442574788,0,2.948416145,21.02443153,0,0.427900756,0,0,0,0,0,0.431861629,0.859762385,0,0.071623404,0,0,0,0,0.068614211,0,0.140237615,1,0,0.49952416,0,0,0,0,0.068614211,0.431861629,17.06882556,33.65925926,64.85627563,0.411579479,2.213530178,0,8.86317762,0,8.86317762,2.625109657,11.48828728,62.21637209,28.55711283,Burn,None
FFS,60,2001,8/10/01,6/1/01,Pretreatment,0060-00109,20010860109,74.12898443,148.2579689,0,0,0,49.41932296,98.83864591,0,370.6449222,0,24.70966148,0,0,0,0,24.70966148,0,49.41932296,420.0642451,17.24056677,9.115121101,0,0,0,17.8725338,12.89370718,0,57.12192886,0,0.823552174,0,0,0,0,1.456994132,0,2.280546305,59.40247516,0.290233138,0.153446823,0,0,0,0.30087187,0.217056733,0,0.961608564,0,0.013863937,0,0,0,0,0.024527499,0,0.038391436,1,0.290233138,0.16731076,0,0,0,0.30087187,0.241584232,0,18.22506159,14.6129139,46.1005413,1.163141634,1.348685937,3.511419567,42.27974023,2.892814908,45.17255514,6.023247138,51.19580227,84.03377776,69.42086386,Burn,None
FFS,60,2003,7/7/03,6/1/03,Post_1,0060-00109,20030760109,74.12898443,74.12898443,0,0,0,49.41932296,49.41932296,0,247.0966148,0,98.83864591,0,0,0,0,49.41932296,0,148.2579689,395.3545836,18.59899314,7.63315026,0,0,0,18.22436191,13.03200091,0,57.48850622,0,1.947736987,0,0,0,0,1.059191029,0,3.006928017,60.49543424,0.307444576,0.126177295,0,0,0,0.301251857,0.215421231,0,0.950294959,0,0.03219643,0,0,0,0,0.017508611,0,0.049705041,1,0.307444576,0.158373725,0,0,0,0.301251857,0.232929842,0,6.069739304,7.307832104,17.74905546,0.355785907,1.617247872,3.49176125,0,5.560817744,5.560817744,5.464795028,11.02561277,24.40318418,17.09535208,Burn,None
FFS,60,2003,2/10/03,6/1/03,Post_burn1,0060-00109,20030260109,74.12898443,74.12898443,0,0,0,49.41932296,49.41932296,0,247.0966148,0,98.83864591,0,0,0,0,49.41932296,0,148.2579689,395.3545836,18.59899314,7.63315026,0,0,0,18.22436191,13.03200091,0,57.48850622,0,1.947736987,0,0,0,0,1.059191029,0,3.006928017,60.49543424,0.307444576,0.126177295,0,0,0,0.301251857,0.215421231,0,0.950294959,0,0.03219643,0,0,0,0,0.017508611,0,0.049705041,1,0.307444576,0.158373725,0,0,0,0.301251857,0.232929842,0,4.046492869,25.57741236,31.94829983,0.260909665,0.808623936,5.237641874,0,0,0,6.307175475,6.307175475,35.93108071,10.35366834,Burn,Burn
FFS,60,2009,10/22/09,6/1/09,Post_burn2,0060-00109,20091060109,49.41932296,49.41932296,0,0,0,49.41932296,49.41932296,0,197.6772918,24.70966148,74.12898443,0,0,0,0,24.70966148,0,123.5483074,321.2255992,16.223023,7.624009599,0,0,0,20.9237096,14.03890969,0,58.80965189,3.929901855,1.992896896,0,0,0,0,0.541239668,0,6.46403842,65.27369031,0.248538468,0.116800652,0,0,0,0.320553496,0.215077616,0,0.900970232,0.060206522,0.030531396,0,0,0,0,0.00829185,0,0.099029768,1,0.30874499,0.147332048,0,0,0,0.320553496,0.223369466,0,7.936419166,7.297482012,21.22520357,0.199733917,0.494931921,0,6.173831143,0,6.173831143,0.694665838,6.868496981,22.10239816,14.80491615,Burn,Burn2
BFRS,60,2016,11/14/17,8/10/16,Post_burn3,0060-00109,20171160109,49.41932296,49.41932296,0,0,0,49.41932296,49.41932296,0,197.6772918,0,24.70966148,0,0,0,0,0,0,24.70966148,222.3869533,18.26413148,8.54366154,0,0,0,24.33710889,15.43348095,0,66.57838286,0,1.227141093,0,0,0,0,0,0,1.227141093,67.80552395,0.269360524,0.126002441,0,0,0,0.358925165,0.227613918,0,0.981902048,0,0.018097952,0,0,0,0,0,0,0.018097952,1,0.269360524,0.144100393,0,0,0,0.358925165,0.227613918,0,5.718168166,1.817116591,12.25465981,0.177647458,1.910691444,3.529449776,0,0,0,5.617788678,5.617788678,13.15307344,11.33595684,Burn,Burn3
FFS,60,2009,6/1/09,6/1/09,Post_7,0060-00109,20090660109,49.41932296,49.41932296,0,0,0,49.41932296,49.41932296,0,197.6772918,24.70966148,74.12898443,0,0,0,0,24.70966148,0,123.5483074,321.2255992,16.223023,7.624009599,0,0,0,20.9237096,14.03890969,0,58.80965189,3.929901855,1.992896896,0,0,0,0,0.541239668,0,6.46403842,65.27369031,0.248538468,0.116800652,0,0,0,0.320553496,0.215077616,0,0.900970232,0.060206522,0.030531396,0,0,0,0,0.00829185,0,0.099029768,1,0.30874499,0.147332048,0,0,0,0.320553496,0.223369466,0,19.84104791,21.89244603,56.60054285,0.17754126,0.989863841,0,7.46174956,0,7.46174956,1.167405101,8.629154661,50.36264861,28.47020258,Burn,None
